Id,Name,Month,Country,Confirmed,Deaths,Recovered,New cases,New deaths,New recovered,Population,Confirmed_per_100K,Deaths_per_100K,Recovered_per_100K,Confirmed_rolling_avg3,Confirmed_trend,Deaths_rolling_avg3,Deaths_trend,Recovered_rolling_avg3,Recovered_trend
138,COVID-19,2020-01-01,Romania,0,0,0,0,0,0,19214608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,COVID-19,2020-01-01,Russia,2,0,0,2,0,0,145945524,0.0013703743322748287,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
140,COVID-19,2020-01-01,Rwanda,0,0,0,0,0,0,13005303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,COVID-19,2020-01-01,Saint Kitts & Nevis,0,0,0,0,0,0,53264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,COVID-19,2020-01-01,Saint Lucia,0,0,0,0,0,0,183774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,COVID-19,2020-01-01,St. Vincent & Grenadines,0,0,0,0,0,0,111002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,COVID-19,2020-01-01,San Marino,0,0,0,0,0,0,33944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,COVID-19,2020-01-01,Sao Tome & Principe,0,0,0,0,0,0,219844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,COVID-19,2020-01-01,Saudi Arabia,0,0,0,0,0,0,34905942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,COVID-19,2020-01-01,Senegal,0,0,0,0,0,0,16816539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,COVID-19,2020-01-01,Serbia,0,0,0,0,0,0,8731081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,COVID-19,2020-01-01,Seychelles,0,0,0,0,0,0,98453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,COVID-19,2020-01-01,Sierra Leone,0,0,0,0,0,0,8004158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,COVID-19,2020-01-01,Singapore,13,0,0,13,0,0,5858322,0.2219065459358499,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
152,COVID-19,2020-01-01,Slovakia,0,0,0,0,0,0,5460109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,COVID-19,2020-01-01,Slovenia,0,0,0,0,0,0,2078989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,COVID-19,2020-01-01,Somalia,0,0,0,0,0,0,15965848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,COVID-19,2020-01-01,South Africa,0,0,0,0,0,0,59436725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,COVID-19,2020-01-01,South Korea,11,0,0,10,0,0,51276977,0.021452122655358563,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
157,COVID-19,2020-01-01,South Sudan,0,0,0,0,0,0,11216250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,COVID-19,2020-01-01,Spain,0,0,0,0,0,0,46757980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,COVID-19,2020-01-01,Sri Lanka,1,0,0,1,0,0,21428970,0.004666579868281117,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160,COVID-19,2020-01-01,Sudan,0,0,0,0,0,0,44019263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,COVID-19,2020-01-01,Suriname,0,0,0,0,0,0,587541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,COVID-19,2020-01-01,Sweden,1,0,0,1,0,0,10110233,0.009890968882715167,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
163,COVID-19,2020-01-01,Switzerland,0,0,0,0,0,0,8665615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,COVID-19,2020-01-01,Syria,0,0,0,0,0,0,17571053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,COVID-19,2020-01-01,Taiwan,10,0,0,9,0,0,23824369,0.04197382940131594,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
166,COVID-19,2020-01-01,Tajikistan,0,0,0,0,0,0,9573310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,COVID-19,2020-01-01,Tanzania,0,0,0,0,0,0,60012400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,COVID-19,2020-01-01,Thailand,19,0,5,17,0,5,69830779,0.02720863245704305,0.0,0.00716016643606396,19.0,0.0,0.0,0.0,5.0,0.0
169,COVID-19,2020-01-01,Timor-Leste,0,0,0,0,0,0,1322667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,COVID-19,2020-01-01,Togo,0,0,0,0,0,0,8310934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,COVID-19,2020-01-01,Trinidad and Tobago,0,0,0,0,0,0,1400283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,COVID-19,2020-01-01,Tunisia,0,0,0,0,0,0,11839918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,COVID-19,2020-01-01,Turkey,0,0,0,0,0,0,84495243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,COVID-19,2020-01-01,United States,7,0,0,6,0,0,331341050,0.0021126268538112017,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
175,COVID-19,2020-01-01,Uganda,0,0,0,0,0,0,45974931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,COVID-19,2020-01-01,Ukraine,0,0,0,0,0,0,43686577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,COVID-19,2020-01-01,United Arab Emirates,4,0,0,4,0,0,9910892,0.04035963665026317,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
178,COVID-19,2020-01-01,United Kingdom,2,0,0,2,0,0,67948282,0.0029434151109221573,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
179,COVID-19,2020-01-01,Uruguay,0,0,0,0,0,0,3475842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,COVID-19,2020-01-01,Uzbekistan,0,0,0,0,0,0,33551824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,COVID-19,2020-01-01,Venezuela,0,0,0,0,0,0,28421581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,COVID-19,2020-01-01,Vietnam,2,0,0,2,0,0,97490013,0.0020514921872048578,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
